task start end duration
mBgModel 1472750614693 1472750617564 2871
mBackground 1472750622343 1472750625702 3359
mBackground 1472750622629 1472750626160 3531
mBackground 1472750622339 1472750626216 3877
mBackground 1472750622359 1472750626559 4200
mBackground 1472750622600 1472750626708 4108
mBackground 1472750622651 1472750626867 4216
mBackground 1472750622621 1472750626947 4326
mBackground 1472750622704 1472750626983 4279
mBackground 1472750622325 1472750627317 4992
mBackground 1472750622337 1472750627604 5267
mImgtbl 1472750633230 1472750639409 6179
mAdd 1472750643763 1472750675535 31772
mShrink 1472750678952 1472750682730 3778
mJPEG 1472750684631 1472750686186 1555
mProjectPP 1472750696154 1472750699353 3199
mProjectPP 1472750696227 1472750699488 3261
mProjectPP 1472750696213 1472750699749 3536
mProjectPP 1472750696223 1472750699813 3590
mProjectPP 1472750696116 1472750700087 3971
mProjectPP 1472750696122 1472750700103 3981
mProjectPP 1472750696156 1472750700216 4060
mProjectPP 1472750696261 1472750701186 4925
mProjectPP 1472750696161 1472750701416 5255
mProjectPP 1472750696115 1472750701480 5365
mDiffFit 1472750701169 1472750704848 3679
mDiffFit 1472750700993 1472750704933 3940
mDiffFit 1472750701223 1472750705186 3963
mDiffFit 1472750701004 1472750705351 4347
mDiffFit 1472750701176 1472750705487 4311
mDiffFit 1472750701925 1472750705892 3967
mDiffFit 1472750701937 1472750706014 4077
mDiffFit 1472750701132 1472750706071 4939
mDiffFit 1472750701373 1472750706073 4700
mDiffFit 1472750701836 1472750706080 4244
mDiffFit 1472750702055 1472750706094 4039
mDiffFit 1472750702043 1472750706263 4220
mDiffFit 1472750701837 1472750706802 4965
mDiffFit 1472750700976 1472750707118 6142
mDiffFit 1472750701942 1472750707441 5499
mDiffFit 1472750702689 1472750708992 6303
mDiffFit 1472750707016 1472750710643 3627
mConcatFit 1472750711325 1472750716816 5491
mBgModel 1472750717601 1472750720508 2907
mBackground 1472750722012 1472750725915 3903
mBackground 1472750722148 1472750726102 3954
mBackground 1472750721940 1472750726103 4163
mBackground 1472750722148 1472750726209 4061
mBackground 1472750721943 1472750726150 4207
mBackground 1472750722126 1472750726241 4115
mBackground 1472750722111 1472750726735 4624
mBackground 1472750722101 1472750727041 4940
mBackground 1472750722011 1472750727233 5222
mBackground 1472750722165 1472750727547 5382
mImgtbl 1472750729312 1472750736089 6777
mAdd 1472750738382 1472750771817 33435
mShrink 1472750773871 1472750778828 4957
mJPEG 1472750781207 1472750782983 1776
mProjectPP 1472750841127 1472750844350 3223
mProjectPP 1472750841021 1472750844598 3577
mProjectPP 1472750841024 1472750844670 3646
mProjectPP 1472750841027 1472750844699 3672
mProjectPP 1472750841044 1472750844853 3809
mProjectPP 1472750841027 1472750844893 3866
mProjectPP 1472750841147 1472750844935 3788
mProjectPP 1472750841034 1472750845523 4489
mProjectPP 1472750841026 1472750846203 5177
mProjectPP 1472750841123 1472750845144 4021
mDiffFit 1472750846902 1472750850860 3958
mDiffFit 1472750846924 1472750851268 4344
mDiffFit 1472750846866 1472750851767 4901
mDiffFit 1472750846867 1472750851899 5032
mDiffFit 1472750846917 1472750852176 5259
mDiffFit 1472750848160 1472750852187 4027
mDiffFit 1472750848443 1472750852143 3700
mDiffFit 1472750848140 1472750852299 4159
mDiffFit 1472750848541 1472750852469 3928
mDiffFit 1472750846604 1472750852462 5858
mDiffFit 1472750848455 1472750853228 4773
mDiffFit 1472750849566 1472750853690 4124
mDiffFit 1472750851711 1472750855595 3884
mDiffFit 1472750851793 1472750855927 4134
mDiffFit 1472750854651 1472750859369 4718
mDiffFit 1472750854639 1472750859795 5156
mDiffFit 1472750854645 1472750860579 5934
mConcatFit 1472750862031 1472750868346 6315
mBgModel 1472750869677 1472750872640 2963
mBackground 1472750874618 1472750878567 3949
mBackground 1472750874614 1472750878562 3948
mBackground 1472750874617 1472750878903 4286
mBackground 1472750874418 1472750878905 4487
mBackground 1472750874649 1472750879264 4615
mBackground 1472750874613 1472750879302 4689
mBackground 1472750874441 1472750879362 4921
mBackground 1472750874438 1472750880006 5568
mBackground 1472750874656 1472750880374 5718
mBackground 1472750879667 1472750883566 3899
mImgtbl 1472750885801 1472750893310 7509
mAdd 1472750894589 1472750924665 30076
mShrink 1472750926201 1472750928995 2794
mJPEG 1472750930764 1472750933123 2359
mProjectPP 1472750984019 1472750987587 3568
mProjectPP 1472750984043 1472750987589 3546
mProjectPP 1472750984053 1472750987817 3764
mProjectPP 1472750984138 1472750987841 3703
mProjectPP 1472750984043 1472750987926 3883
mProjectPP 1472750984018 1472750988375 4357
mProjectPP 1472750984016 1472750988842 4826
mProjectPP 1472750985080 1472750989211 4131
mProjectPP 1472750984048 1472750989646 5598
mProjectPP 1472750989425 1472750994591 5166
mDiffFit 1472750990192 1472750995243 5051
mDiffFit 1472750990051 1472750995665 5614
mDiffFit 1472750990133 1472750995844 5711
mDiffFit 1472750991724 1472750995984 4260
mDiffFit 1472750992195 1472750996001 3806
mDiffFit 1472750991548 1472750996218 4670
mDiffFit 1472750990875 1472750996387 5512
mDiffFit 1472750991919 1472750996890 4971
mDiffFit 1472750992167 1472750996939 4772
mDiffFit 1472750991901 1472750997602 5701
mDiffFit 1472750996091 1472751000353 4262
mDiffFit 1472750996088 1472751001096 5008
mDiffFit 1472750996105 1472751001325 5220
mDiffFit 1472750995450 1472751001812 6362
mDiffFit 1472750997123 1472751002330 5207
mDiffFit 1472750997128 1472751002420 5292
mDiffFit 1472750997173 1472751002780 5607
mConcatFit 1472751003225 1472751009387 6162
mBgModel 1472751010019 1472751013014 2995
mBackground 1472751013749 1472751018487 4738
mBackground 1472751013617 1472751018895 5278
mBackground 1472751013603 1472751018963 5360
mBackground 1472751013733 1472751018981 5248
mBackground 1472751013605 1472751018979 5374
mBackground 1472751013642 1472751019613 5971
mBackground 1472751013623 1472751019729 6106
mBackground 1472751013608 1472751019760 6152
mBackground 1472751013721 1472751019830 6109
mBackground 1472751013583 1472751020470 6887
mImgtbl 1472751023000 1472751031174 8174
mAdd 1472751033363 1472751067190 33827
mShrink 1472751070393 1472751075209 4816
mJPEG 1472751082517 1472751084138 1621
