task id resource request_start request_end request_duration start end time downloaded executed uploaded type
mDiffFit 24 512 3272 6961 3689 4827 7272 2445 1871 282 292 512
mDiffFit 25 512 3338 7484 4146 4822 7955 3133 2653 228 252 512
mDiffFit 23 512 3343 7485 4142 5533 7956 2423 1853 280 290 512
mDiffFit 18 512 3456 7555 4099 5603 8088 2485 1803 379 303 512
mDiffFit 15 512 3454 7601 4147 5587 8150 2563 1927 342 294 512
mConcatFit 28 512 7611 8910 1299 8297 9270 973 354 467 152 512
mBgModel 29 512 8917 15885 6968 9566 16314 6748 120 6508 120 512
mBackground 39 512 15910 17110 1200 16605 17657 1052 389 145 518 512
mBackground 35 512 15899 17111 1212 16615 17665 1050 385 159 506 512
mBackground 36 512 15905 17126 1221 16604 17676 1072 434 160 478 512
mBackground 38 512 15908 17182 1274 16585 17711 1126 424 160 542 512
mBackground 31 512 15897 17284 1387 16545 17833 1288 569 200 519 512
mBackground 32 512 15898 17296 1398 16548 17830 1282 577 204 501 512
mBackground 34 512 15899 17406 1507 16588 17944 1356 426 141 789 512
mBackground 33 512 15898 17466 1568 16547 17975 1428 641 202 585 512
mBackground 37 512 15906 18019 2113 16664 18324 1660 839 263 558 512
mBackground 30 512 15897 18779 2882 17736 18950 1214 422 160 632 512
mImgtbl 40 512 18786 20881 2095 19411 21247 1836 1507 141 188 512
mAdd 41 512 20890 26930 6040 21558 27395 5837 4620 561 656 512
mShrink 42 512 26934 28370 1436 27618 28914 1296 480 263 553 512
mJPEG 43 512 28374 29984 1610 29020 30534 1514 478 840 196 512
mProjectPP 10 512 31 3392 3361 774 3640 2866 299 2115 452 512
mProjectPP 1 512 0 3395 3395 741 3719 2978 316 2174 488 512
mProjectPP 3 512 6 3395 3389 816 3760 2944 351 2101 492 512
mProjectPP 4 512 6 3396 3390 755 3765 3010 342 2120 548 512
mProjectPP 8 512 8 3396 3388 824 3806 2982 334 2102 546 512
mProjectPP 6 512 7 3397 3390 798 3824 3026 277 2131 618 512
mProjectPP 2 512 5 3397 3392 882 3914 3032 278 2222 532 512
mProjectPP 7 512 7 3401 3394 861 3928 3067 297 2281 489 512
mProjectPP 5 512 7 3512 3505 887 4053 3166 286 2234 646 512
mProjectPP 9 512 30 3904 3874 826 4307 3481 348 2118 1015 512
mDiffFit 17 512 3538 5954 2416 4095 5229 1134 692 163 279 512
mDiffFit 15 512 3416 5956 2540 4161 5486 1325 886 185 254 512
mDiffFit 21 512 3532 5957 2425 4194 5497 1303 717 262 324 512
mDiffFit 20 512 3424 5959 2535 4164 5520 1356 687 360 309 512
mDiffFit 19 512 3541 5960 2419 4155 5545 1390 870 184 336 512
mDiffFit 16 512 3415 5961 2546 4148 5533 1385 788 283 314 512
mDiffFit 22 512 3533 5963 2430 4160 5583 1423 988 163 272 512
mDiffFit 13 512 3537 5965 2428 4235 5635 1400 740 281 379 512
mDiffFit 14 512 3416 5965 2549 4113 5628 1515 1006 262 247 512
mDiffFit 12 512 3414 5966 2552 4132 5668 1536 947 277 312 512
mDiffFit 11 512 3421 5966 2545 4109 5678 1569 975 285 309 512
mDiffFit 25 512 3923 5967 2044 4596 5728 1132 709 180 243 512
mDiffFit 26 512 3423 5967 2544 4115 5710 1595 1043 264 288 512
mDiffFit 23 512 3426 5968 2542 4135 5969 1834 966 184 684 512
mDiffFit 18 512 3415 5969 2554 4127 6175 2048 1499 263 286 512
mDiffFit 27 512 3918 5970 2052 4582 6247 1665 1191 204 270 512
mDiffFit 24 512 3923 6471 2548 4661 6911 2250 1699 266 285 512
mConcatFit 28 512 6481 8365 1884 7110 8153 1043 379 512 152 512
mBgModel 29 512 8368 15590 7222 8973 16046 7073 205 6703 165 512
mBackground 33 512 15611 17214 1603 16256 17304 1048 411 162 475 512
mBackground 36 512 15618 17215 1597 16263 17308 1045 395 162 488 512
mBackground 37 512 15618 17215 1597 16278 17314 1036 405 161 470 512
mBackground 38 512 15620 17216 1596 16337 17358 1021 378 160 483 512
mBackground 34 512 15611 17216 1605 16286 17345 1059 410 143 506 512
mBackground 35 512 15612 17217 1605 16306 17369 1063 400 163 500 512
mBackground 39 512 15621 17217 1596 16284 17350 1066 417 145 504 512
mBackground 30 512 15610 17218 1608 16278 17357 1079 422 158 499 512
mBackground 32 512 15611 17218 1607 16261 17387 1126 391 140 595 512
mBackground 31 512 15610 17220 1610 16239 17381 1142 401 162 579 512
mImgtbl 40 512 17229 19157 1928 17922 19675 1753 1438 124 191 512
mAdd 41 512 19169 22509 3340 19791 23044 3253 2110 544 599 512
mShrink 42 512 22513 24043 1530 23160 24390 1230 422 282 526 512
mJPEG 43 512 24047 25805 1758 24714 26137 1423 447 803 173 512
mProjectPP 4 512 34 3111 3077 767 3611 2844 308 2060 476 512
mProjectPP 3 512 34 3119 3085 786 3657 2871 279 2097 495 512
mProjectPP 7 512 36 3132 3096 750 3687 2937 299 2143 495 512
mProjectPP 10 512 45 3157 3112 738 3686 2948 318 2120 510 512
mProjectPP 2 512 33 3158 3125 735 3686 2951 312 2129 510 512
mProjectPP 9 512 45 3160 3115 796 3712 2916 309 2131 476 512
mProjectPP 1 512 0 3255 3255 726 3792 3066 294 2158 614 512
mProjectPP 5 512 34 3276 3242 786 3821 3035 344 2062 629 512
mProjectPP 6 512 35 3930 3895 1493 4371 2878 303 2109 466 512
mProjectPP 8 512 36 4253 4217 762 4781 4019 297 2141 1581 512
mDiffFit 27 512 3172 4639 1467 3831 5074 1243 726 262 255 512
mDiffFit 14 512 3168 4641 1473 3787 5099 1312 871 179 262 512
mDiffFit 12 512 3287 4641 1354 3956 5165 1209 725 183 301 512
mDiffFit 17 512 3291 4642 1351 3959 5129 1170 775 180 215 512
mDiffFit 19 512 3291 4642 1351 3982 5165 1183 681 182 320 512
mDiffFit 16 512 3126 4678 1552 3772 5228 1456 803 301 352 512
mDiffFit 26 512 3168 4706 1538 3843 5262 1419 748 379 292 512
mDiffFit 20 512 3136 4712 1576 3814 5264 1450 875 263 312 512
mDiffFit 11 512 3285 4771 1486 4028 5313 1285 700 263 322 512
mDiffFit 22 512 3287 5062 1775 3976 5558 1582 1057 223 302 512
mDiffFit 13 512 3289 5111 1822 3984 5647 1663 701 343 619 512
mDiffFit 25 512 3174 5800 2626 3793 5792 1999 1542 147 310 512
mDiffFit 24 512 3944 5801 1857 4557 5886 1329 771 267 291 512
mDiffFit 23 512 3942 5802 1860 4567 5907 1340 836 183 321 512
mDiffFit 21 512 3947 5802 1855 4567 5991 1424 838 262 324 512
mDiffFit 18 512 4261 5803 1542 4793 6009 1216 651 280 285 512
mDiffFit 15 512 4259 5803 1544 4873 6172 1299 747 199 353 512
mConcatFit 28 512 5810 8189 2379 6426 7539 1113 508 485 120 512
mBgModel 29 512 8195 15042 6847 8801 15566 6765 145 6477 143 512
mBackground 38 512 15070 16266 1196 15766 16765 999 347 160 492 512
mBackground 35 512 15062 16269 1207 15741 16785 1044 384 141 519 512
mBackground 31 512 15060 16270 1210 15712 16782 1070 368 160 542 512
mBackground 37 512 15064 16322 1258 15769 16859 1090 395 141 554 512
mBackground 32 512 15061 16335 1274 15627 16771 1144 397 142 605 512
