task id resource start end time downloaded executed uploaded type
mDiffFit 270 1536 3802 4845 1043 648 91 304 1536
mDiffFit 311 1536 3828 4828 1000 666 85 249 1536
mDiffFit 271 1536 3665 4823 1158 760 126 272 1536
mDiffFit 307 1536 3640 4785 1145 728 123 294 1536
mDiffFit 234 1536 3779 4831 1052 614 94 344 1536
mDiffFit 303 1536 3783 4811 1028 636 139 253 1536
mDiffFit 330 1536 3884 4832 948 608 81 259 1536
mDiffFit 280 1536 3786 4827 1041 657 96 288 1536
mDiffFit 297 1536 3908 4819 911 710 61 140 1536
mDiffFit 265 1536 3839 4814 975 624 83 268 1536
mDiffFit 247 1536 3695 4871 1176 780 103 293 1536
mDiffFit 342 1536 3821 4880 1059 611 128 320 1536
mDiffFit 211 1536 3888 4872 984 595 112 277 1536
mDiffFit 248 1536 3820 4879 1059 640 88 331 1536
mDiffFit 345 1536 3821 4896 1075 609 122 344 1536
mDiffFit 245 1536 3942 4927 985 627 80 278 1536
mDiffFit 246 1536 3682 4930 1248 825 76 347 1536
mDiffFit 197 1536 3969 4930 961 570 111 280 1536
mDiffFit 238 1536 3960 4920 960 628 84 248 1536
mDiffFit 312 1536 3945 4913 968 571 114 283 1536
mDiffFit 290 1536 3955 4918 963 618 107 238 1536
mDiffFit 267 1536 3866 4940 1074 672 120 282 1536
mDiffFit 212 1536 3988 4970 982 606 114 262 1536
mDiffFit 204 1536 4034 4982 948 648 66 234 1536
mDiffFit 326 1536 3780 4919 1139 638 157 344 1536
mDiffFit 295 1536 3958 4953 995 610 99 286 1536
mDiffFit 268 1536 3922 4984 1062 676 95 291 1536
mDiffFit 135 1536 3931 4942 1011 600 96 315 1536
mDiffFit 291 1536 3920 5009 1089 631 127 331 1536
mDiffFit 189 1536 3983 5008 1025 625 109 291 1536
mDiffFit 210 1536 4009 5050 1041 635 121 285 1536
mDiffFit 344 1536 3724 5044 1320 617 273 430 1536
mDiffFit 130 1536 4038 5010 972 650 84 238 1536
mDiffFit 231 1536 3945 4973 1028 581 125 322 1536
mDiffFit 151 1536 3975 4980 1005 652 96 257 1536
mDiffFit 304 1536 3972 5008 1036 611 146 279 1536
mDiffFit 241 1536 3923 5029 1106 651 121 334 1536
mDiffFit 306 1536 3800 5035 1235 571 265 399 1536
mDiffFit 196 1536 4063 5150 1087 753 89 245 1536
mDiffFit 302 1536 3692 5068 1376 1103 69 204 1536
mDiffFit 262 1536 3959 5041 1082 642 120 320 1536
mDiffFit 343 1536 3815 5117 1302 653 262 387 1536
mDiffFit 242 1536 4027 5118 1091 627 99 365 1536
mDiffFit 214 1536 4279 5189 910 562 109 239 1536
mDiffFit 220 1536 4115 5216 1101 668 113 320 1536
mDiffFit 300 1536 3734 5231 1497 612 269 616 1536
mDiffFit 208 1536 4219 5272 1053 657 124 272 1536
mDiffFit 236 1536 3770 5228 1458 1037 128 293 1536
mDiffFit 285 1536 3737 5392 1655 1231 122 302 1536
mDiffFit 116 1536 3973 5397 1424 1037 84 303 1536
mDiffFit 239 1536 3782 5409 1627 1172 98 357 1536
mDiffFit 237 1536 3931 5469 1538 1184 81 273 1536
mDiffFit 279 1536 3980 5594 1614 1244 106 264 1536
mDiffFit 206 1536 3952 5596 1644 1234 101 309 1536
mDiffFit 320 1536 3540 5630 2090 1468 255 367 1536
mDiffFit 354 1536 3652 5701 2049 650 143 1256 1536
mDiffFit 277 1536 3739 6160 2421 2031 124 266 1536
mDiffFit 288 1536 3882 6309 2427 2119 81 227 1536
mConcatFit 364 1536 6451 9570 3119 806 2135 178 1536
mBackground 368 1536 1504330 1505230 900 423 67 410 1536
mBackground 384 1536 1504384 1505244 860 375 64 421 1536
mBackground 367 1536 1504302 1505245 943 401 85 457 1536
mBackground 376 1536 1504410 1505294 884 382 64 438 1536
mBackground 369 1536 1504361 1505283 922 392 67 463 1536
mBackground 374 1536 1504407 1505364 957 400 88 469 1536
mBackground 379 1536 1504415 1505357 942 397 92 453 1536
mBackground 371 1536 1504333 1505377 1044 405 90 549 1536
mBackground 373 1536 1504359 1505398 1039 477 65 497 1536
mBackground 372 1536 1504346 1505416 1070 531 95 444 1536
mBackground 380 1536 1504316 1505451 1135 573 86 476 1536
mBackground 377 1536 1504775 1505852 1077 546 85 446 1536
mBackground 383 1536 1504817 1505901 1084 555 93 436 1536
mBackground 389 1536 1504792 1505892 1100 484 86 530 1536
mBackground 398 1536 1504874 1505934 1060 524 77 459 1536
mBackground 378 1536 1504315 1505857 1542 959 90 493 1536
mBackground 464 1536 1504910 1505938 1028 501 95 432 1536
mBackground 370 1536 1504824 1505933 1109 592 95 422 1536
mBackground 441 1536 1504915 1505964 1049 508 84 457 1536
mBackground 390 1536 1504884 1505979 1095 568 94 433 1536
mBackground 424 1536 1504889 1505974 1085 531 88 466 1536
mBackground 456 1536 1504878 1505963 1085 537 107 441 1536
mBackground 422 1536 1504848 1505927 1079 539 85 455 1536
mBackground 449 1536 1504804 1505912 1108 569 73 466 1536
mBackground 418 1536 1504925 1506015 1090 570 84 436 1536
mBackground 392 1536 1504887 1506001 1114 539 104 471 1536
mBackground 414 1536 1504892 1505998 1106 560 81 465 1536
mBackground 396 1536 1504950 1506004 1054 520 82 452 1536
mBackground 465 1536 1504841 1505958 1117 573 79 465 1536
mBackground 436 1536 1504928 1506019 1091 507 89 495 1536
mBackground 415 1536 1504920 1506029 1109 537 88 484 1536
mBackground 442 1536 1504838 1505961 1123 576 84 463 1536
mBackground 444 1536 1504958 1506010 1052 518 84 450 1536
mBackground 402 1536 1504851 1505972 1121 548 84 489 1536
mBackground 387 1536 1504822 1505943 1121 551 68 502 1536
mBackground 391 1536 1504871 1506004 1133 587 111 435 1536
mBackground 450 1536 1504891 1506005 1114 563 85 466 1536
mBackground 381 1536 1504809 1505994 1185 614 87 484 1536
mBackground 454 1536 1504919 1506032 1113 542 88 483 1536
mBackground 457 1536 1504990 1506107 1117 574 83 460 1536
mBackground 453 1536 1504858 1505975 1117 572 105 440 1536
mBackground 421 1536 1504886 1506028 1142 543 92 507 1536
mBackground 425 1536 1504789 1505962 1173 622 82 469 1536
mBackground 459 1536 1504703 1505841 1138 589 72 477 1536
mBackground 375 1536 1504899 1506001 1102 549 85 468 1536
mBackground 397 1536 1504834 1506007 1173 561 92 520 1536
mBackground 412 1536 1504811 1505975 1164 522 85 557 1536
mBackground 417 1536 1504885 1506050 1165 568 100 497 1536
mBackground 451 1536 1504831 1505977 1146 577 72 497 1536
mBackground 395 1536 1504820 1505998 1178 599 89 490 1536
mBackground 452 1536 1504985 1506073 1088 552 85 451 1536
mBackground 446 1536 1504936 1506036 1100 561 86 453 1536
mBackground 405 1536 1504912 1506052 1140 592 84 464 1536
mBackground 438 1536 1504866 1506028 1162 602 108 452 1536
mBackground 423 1536 1504845 1506034 1189 609 84 496 1536
mBackground 400 1536 1504892 1506068 1176 570 83 523 1536
mBackground 440 1536 1504884 1506080 1196 611 79 506 1536
mBackground 426 1536 1504945 1506099 1154 526 74 554 1536
mBackground 410 1536 1504890 1506108 1218 595 100 523 1536
mBackground 408 1536 1504977 1506099 1122 559 107 456 1536
mBackground 432 1536 1504923 1506123 1200 546 85 569 1536
mBackground 434 1536 1504882 1506086 1204 572 83 549 1536
mBackground 416 1536 1504887 1506114 1227 701 84 442 1536
mBackground 447 1536 1504921 1506150 1229 595 83 551 1536
mBackground 413 1536 1504904 1506173 1269 725 84 460 1536
mBackground 385 1536 1504940 1506175 1235 619 83 533 1536
mBackground 461 1536 1504860 1506169 1309 571 76 662 1536
mBackground 406 1536 1504891 1506026 1135 583 86 466 1536
mBackground 445 1536 1505744 1506757 1013 501 77 435 1536
mBackground 431 1536 1504883 1506767 1884 1356 84 444 1536
mBackground 427 1536 1506015 1507172 1157 588 87 482 1536
mBackground 420 1536 1506011 1507305 1294 546 86 662 1536
mBackground 399 1536 1506374 1507379 1005 465 86 454 1536
mBackground 393 1536 1505807 1507405 1598 530 86 982 1536
mBackground 439 1536 1506361 1507419 1058 537 75 446 1536
mBackground 428 1536 1506362 1507430 1068 538 94 436 1536
mBackground 462 1536 1506392 1507474 1082 547 101 434 1536
mBackground 455 1536 1506329 1507451 1122 529 72 521 1536
mBackground 366 1536 1506472 1507507 1035 477 84 474 1536
mBackground 460 1536 1506395 1507558 1163 579 92 492 1536
mBackground 388 1536 1506420 1507464 1044 517 92 435 1536
mBackground 403 1536 1506455 1507499 1044 509 73 462 1536
mBackground 382 1536 1506386 1507530 1144 598 78 468 1536
mBackground 386 1536 1506447 1507591 1144 578 85 481 1536
mBackground 437 1536 1506487 1507678 1191 548 68 575 1536
mBackground 394 1536 1506455 1507677 1222 596 77 549 1536
mBackground 401 1536 1506454 1507685 1231 548 83 600 1536
mBackground 458 1536 1506647 1507701 1054 540 69 445 1536
mBackground 435 1536 1506469 1507774 1305 532 85 688 1536
mBackground 404 1536 1506459 1507789 1330 557 78 695 1536
mBackground 463 1536 1506661 1507771 1110 576 84 450 1536
mBackground 419 1536 1506650 1507767 1117 550 84 483 1536
mBackground 433 1536 1506611 1507742 1131 533 82 516 1536
mBackground 443 1536 1506659 1507801 1142 586 92 464 1536
mBackground 430 1536 1506695 1507985 1290 553 82 655 1536
mBackground 429 1536 1504862 1508039 3177 2490 85 602 1536
mBackground 409 1536 1505748 1508585 2837 559 83 2195 1536
mBackground 407 1536 1506642 1508821 2179 1521 82 576 1536
mBackground 411 1536 1507868 1508890 1022 496 87 439 1536
mBackground 448 1536 1507890 1511714 3824 3266 92 466 1536
mImgtbl 466 1536 1512260 1517118 4858 4556 138 164 1536
mProjectPP 84 1536 92 1464 1372 323 619 430 1536
mProjectPP 94 1536 101 1529 1428 347 617 464 1536
mProjectPP 15 1536 30 1574 1544 344 756 444 1536
mProjectPP 90 1536 58 1549 1491 338 646 507 1536
mProjectPP 98 1536 51 1583 1532 314 768 450 1536
mProjectPP 81 1536 87 1610 1523 297 790 436 1536
