task id resource request_start request_end request_duration start end time downloaded executed uploaded type
mDiffFit 16 256 6076 9125 3049 6766 9495 2729 1821 543 365 256
mConcatFit 28 256 9134 11214 2080 9721 11685 1964 724 1044 196 256
mBgModel 29 256 11218 25014 13796 11804 25224 13420 129 13153 138 256
mBackground 32 256 25030 26648 1618 25609 27132 1523 597 302 624 256
mBackground 36 256 25031 26677 1646 25733 27219 1486 539 321 626 256
mBackground 30 256 25029 26709 1680 25753 27292 1539 618 304 617 256
mBackground 38 256 25038 26803 1765 25713 27304 1591 658 303 630 256
mBackground 39 256 25040 26878 1838 25718 27418 1700 599 304 797 256
mBackground 31 256 25030 26892 1862 25732 27450 1718 578 303 837 256
mBackground 33 256 25030 27042 2012 25831 27669 1838 618 502 718 256
mBackground 35 256 25031 27174 2143 25740 27734 1994 957 400 637 256
mBackground 34 256 25031 27528 2497 25912 27882 1970 819 443 708 256
mBackground 37 256 25037 28153 3116 25667 28683 3016 1960 302 754 256
mImgtbl 40 256 28157 31109 2952 28767 31635 2868 2464 237 167 256
mAdd 41 256 31113 56960 25847 47768 57463 9695 7681 1098 916 256
mShrink 42 256 56968 59042 2074 57629 59566 1937 678 562 697 256
mJPEG 43 256 59046 61618 2572 59679 62146 2467 588 1681 198 256
mProjectPP 5 512 7 4908 4901 1877 5207 3330 604 2161 565 512
mProjectPP 6 512 8 4912 4904 1997 5359 3362 616 2181 565 512
mProjectPP 9 512 35 4913 4878 2023 5375 3352 608 2202 542 512
mProjectPP 10 512 38 4913 4875 1913 5284 3371 613 2181 577 512
mProjectPP 4 512 7 4928 4921 2010 5540 3530 688 2222 620 512
mProjectPP 7 512 33 4997 4964 1955 5577 3622 716 2222 684 512
mProjectPP 1 512 0 5001 5001 2019 5565 3546 653 2281 612 512
mProjectPP 3 512 7 5006 4999 2102 5582 3480 646 2241 593 512
mProjectPP 2 512 6 5146 5140 2104 5716 3612 654 2220 738 512
mProjectPP 8 512 33 5391 5358 1895 5961 4066 646 2242 1178 512
mDiffFit 22 512 5013 6930 1917 5570 7403 1833 1318 244 271 512
mDiffFit 19 512 4931 6943 2012 5606 7522 1916 1342 280 294 512
mDiffFit 27 512 4925 6951 2026 5617 7516 1899 1297 278 324 512
mDiffFit 23 512 5013 6954 1941 5678 7532 1854 1315 281 258 512
mDiffFit 24 512 4924 6976 2052 5631 7556 1925 1261 363 301 512
mDiffFit 12 512 5027 7024 1997 5732 7595 1863 1303 264 296 512
mDiffFit 13 512 5020 7025 2005 5668 7593 1925 1243 363 319 512
mDiffFit 16 512 5022 7111 2089 5671 7669 1998 1249 360 389 512
mDiffFit 21 512 4922 7137 2215 5700 7748 2048 1361 360 327 512
mDiffFit 18 512 5404 7648 2244 6050 8152 2102 1352 379 371 512
mDiffFit 17 512 5025 8020 2995 6138 8591 2453 1932 245 276 512
mDiffFit 25 512 5012 8173 3161 6185 8783 2598 1965 323 310 512
mDiffFit 20 512 5013 8368 3355 6429 8938 2509 1845 362 302 512
mDiffFit 14 512 5158 8625 3467 6765 9185 2420 1876 245 299 512
mDiffFit 15 512 5401 8629 3228 6789 9196 2407 1789 326 292 512
mDiffFit 11 512 5162 8772 3610 6713 9342 2629 1927 364 338 512
mDiffFit 26 512 5012 9815 4803 6461 10265 3804 3082 362 360 512
mConcatFit 28 512 9820 11890 2070 10457 11412 955 344 481 130 512
mBgModel 29 512 11894 18899 7005 12529 19214 6685 156 6396 133 512
mBackground 35 512 18920 20315 1395 19671 20868 1197 520 205 472 512
mBackground 32 512 18914 20316 1402 19609 20838 1229 531 202 496 512
mBackground 30 512 18913 20323 1410 19567 20885 1318 496 199 623 512
mBackground 33 512 18919 20329 1410 19618 20902 1284 522 300 462 512
mBackground 38 512 18928 20403 1475 19719 20971 1252 516 203 533 512
mBackground 31 512 18914 20406 1492 19678 20972 1294 478 260 556 512
mBackground 39 512 18929 20407 1478 19778 21016 1238 480 201 557 512
mBackground 37 512 18922 20423 1501 19690 20996 1306 480 200 626 512
mBackground 34 512 18920 20456 1536 19720 21027 1307 460 280 567 512
mBackground 36 512 18921 20459 1538 19723 21026 1303 498 261 544 512
mImgtbl 40 512 20468 23580 3112 21149 23301 2152 1793 219 140 512
mAdd 41 512 23593 28256 4663 24242 28222 3980 2699 584 697 512
mShrink 42 512 28261 29728 1467 28908 30265 1357 513 300 544 512
mJPEG 43 512 29731 31309 1578 30406 31872 1466 455 825 186 512
mProjectPP 3 512 43 3216 3173 847 3819 2972 312 2160 500 512
mProjectPP 1 512 0 3268 3268 862 3839 2977 359 2083 535 512
mProjectPP 5 512 44 3283 3239 841 3854 3013 314 2231 468 512
mProjectPP 10 512 55 3292 3237 893 3860 2967 297 2163 507 512
mProjectPP 8 512 52 3311 3259 832 3871 3039 371 2160 508 512
mProjectPP 2 512 41 3438 3397 897 4002 3105 334 2128 643 512
mProjectPP 7 512 51 3469 3418 971 4068 3097 284 2257 556 512
mProjectPP 6 512 44 3469 3425 905 4024 3119 308 2269 542 512
mProjectPP 4 512 43 3674 3631 783 4243 3460 620 2199 641 512
mProjectPP 9 512 52 3908 3856 924 4479 3555 684 2293 578 512
mDiffFit 17 512 3302 4913 1611 3933 5473 1540 1110 162 268 512
mDiffFit 18 512 3316 5073 1757 3990 5645 1655 1054 244 357 512
mDiffFit 22 512 3481 5138 1657 4257 5707 1450 961 245 244 512
mDiffFit 20 512 3681 5190 1509 4320 5759 1439 784 341 314 512
mDiffFit 15 512 3444 5197 1753 4113 5757 1644 1151 181 312 512
mDiffFit 23 512 3482 5282 1800 4273 5851 1578 1000 261 317 512
mDiffFit 11 512 3445 5318 1873 4123 5885 1762 1193 268 301 512
