task id resource request_start request_end request_duration start end time downloaded executed uploaded type
ellipsoids-openmp 121 512 2793 13423 10630 4035 13365 9330 507 8483 340 sdbws
ellipsoids-openmp 115 512 2792 13434 10642 4009 13380 9371 540 8561 270 sdbws
ellipsoids-openmp 29 512 2608 13436 10828 3963 13382 9419 499 8662 258 sdbws
ellipsoids-openmp 42 512 2615 13442 10827 3985 13403 9418 523 8662 233 sdbws
ellipsoids-openmp 46 512 2616 13449 10833 3985 13401 9416 553 8622 241 sdbws
ellipsoids-openmp 120 512 2793 13449 10656 4019 13398 9379 507 8624 248 sdbws
ellipsoids-openmp 15 512 2602 13451 10849 3958 13401 9443 509 8644 290 sdbws
ellipsoids-openmp 108 512 2789 13460 10671 4004 13401 9397 608 8542 247 sdbws
ellipsoids-openmp 24 512 2606 13462 10856 3963 13400 9437 534 8621 282 sdbws
ellipsoids-openmp 140 512 2799 13487 10688 4027 13425 9398 551 8581 266 sdbws
ellipsoids-openmp 114 512 2791 13489 10698 4028 13428 9400 527 8582 291 sdbws
ellipsoids-openmp 128 512 2796 13490 10694 4027 13427 9400 540 8581 279 sdbws
ellipsoids-openmp 23 512 2605 13507 10902 3952 13416 9464 505 8682 277 sdbws
ellipsoids-openmp 34 512 2611 13508 10897 3965 13440 9475 515 8682 278 sdbws
ellipsoids-openmp 142 512 2826 13509 10683 4045 13459 9414 512 8642 260 sdbws
ellipsoids-openmp 139 512 2799 13510 10711 4029 13429 9400 523 8601 276 sdbws
ellipsoids-openmp 148 512 2829 13511 10682 4048 13465 9417 510 8623 284 sdbws
ellipsoids-openmp 124 512 2794 13512 10718 4018 13457 9439 525 8662 252 sdbws
ellipsoids-openmp 107 512 2789 13520 10731 4016 13473 9457 508 8722 227 sdbws
ellipsoids-openmp 150 512 2842 13521 10679 4019 13462 9443 534 8642 267 sdbws
ellipsoids-openmp 43 512 2615 13523 10908 3987 13470 9483 524 8702 257 sdbws
ellipsoids-openmp 145 512 2827 13525 10698 4018 13399 9381 532 8562 287 sdbws
ellipsoids-openmp 50 512 2617 13529 10912 3999 13483 9484 514 8701 269 sdbws
ellipsoids-openmp 41 512 2614 13531 10917 3974 13474 9500 528 8681 291 sdbws
ellipsoids-openmp 20 512 2604 13535 10931 3990 13489 9499 524 8741 234 sdbws
ellipsoids-openmp 144 512 2827 13537 10710 4026 13467 9441 524 8661 256 sdbws
ellipsoids-openmp 53 512 2619 13540 10921 3996 13492 9496 513 8701 282 sdbws
ellipsoids-openmp 113 512 2791 13541 10750 4047 13519 9472 576 8622 274 sdbws
ellipsoids-openmp 22 512 2605 13549 10944 3968 13499 9531 551 8742 238 sdbws
ellipsoids-openmp 135 512 2798 13550 10752 4013 13488 9475 558 8681 236 sdbws
ellipsoids-openmp 49 512 2617 13553 10936 3981 13503 9522 560 8682 280 sdbws
ellipsoids-openmp 111 512 2790 13556 10766 4011 13511 9500 520 8701 279 sdbws
ellipsoids-openmp 126 512 2795 13557 10762 4008 13503 9495 505 8742 248 sdbws
ellipsoids-openmp 44 512 2615 13559 10944 3996 13510 9514 534 8721 259 sdbws
ellipsoids-openmp 10 512 2600 13562 10962 3938 13506 9568 528 8782 258 sdbws
ellipsoids-openmp 149 512 2841 13571 10730 4034 13510 9476 537 8642 297 sdbws
ellipsoids-openmp 153 512 2843 13572 10729 4041 13510 9469 535 8645 289 sdbws
ellipsoids-openmp 151 512 2842 13591 10749 4050 13540 9490 473 8722 295 sdbws
ellipsoids-openmp 130 512 2796 13593 10797 4054 13542 9488 554 8642 292 sdbws
ellipsoids-openmp 6 512 2620 13594 10974 3979 13534 9555 533 8702 320 sdbws
ellipsoids-openmp 141 512 2825 13604 10779 4074 13571 9497 555 8723 219 sdbws
ellipsoids-openmp 37 512 2613 13611 10998 3955 13545 9590 549 8760 281 sdbws
ellipsoids-openmp 40 512 2614 13613 10999 3964 13570 9606 486 8818 302 sdbws
ellipsoids-openmp 54 512 2619 13616 10997 4004 13569 9565 519 8801 245 sdbws
ellipsoids-openmp 118 512 2793 13617 10824 3994 13553 9559 492 8841 226 sdbws
ellipsoids-openmp 133 512 2797 13629 10832 4010 13566 9556 506 8741 309 sdbws
ellipsoids-openmp 38 512 2613 13650 11037 4030 13603 9573 525 8780 268 sdbws
ellipsoids-openmp 110 512 2790 13653 10863 4002 13604 9602 561 8761 280 sdbws
ellipsoids-openmp 137 512 2798 13660 10862 4044 13613 9569 528 8761 280 sdbws
ellipsoids-openmp 129 512 2796 13719 10923 4023 13638 9615 517 8843 255 sdbws
ellipsoids-openmp 9 512 2660 13754 11094 4020 13671 9651 528 8882 241 sdbws
ellipsoids-openmp 21 512 2604 13755 11151 3949 13674 9725 576 8839 310 sdbws
ellipsoids-openmp 146 512 2828 13756 10928 4040 13693 9653 575 8807 271 sdbws
ellipsoids-openmp 122 512 2794 13758 10964 4031 13699 9668 548 8861 259 sdbws
ellipsoids-openmp 7 512 2659 13765 11106 3990 13704 9714 535 8904 275 sdbws
ellipsoids-openmp 39 512 2614 13791 11177 3988 13736 9748 486 9005 257 sdbws
ellipsoids-openmp 119 512 2793 13828 11035 4164 13766 9602 528 8801 273 sdbws
ellipsoids-openmp 152 512 2842 13857 11015 4038 13791 9753 518 8962 273 sdbws
ellipsoids-openmp 55 512 2619 13873 11254 3999 13813 9814 503 9002 309 sdbws
ellipsoids-openmp 30 512 2608 13898 11290 3968 13812 9844 506 9062 276 sdbws
ellipsoids-openmp 48 512 2617 13899 11282 3992 13850 9858 508 9062 288 sdbws
ellipsoids-openmp 106 512 2789 13900 11111 3995 13842 9847 496 9081 270 sdbws
ellipsoids-openmp 14 512 2602 13913 11311 3947 13863 9916 538 9101 277 sdbws
ellipsoids-openmp 32 512 2610 13919 11309 3976 13873 9897 519 9066 312 sdbws
ellipsoids-openmp 127 512 2795 13931 11136 4031 13863 9832 517 9066 249 sdbws
ellipsoids-openmp 136 512 2798 13965 11167 4048 13923 9875 553 9062 260 sdbws
ellipsoids-openmp 112 512 2791 13966 11175 4029 13920 9891 528 9083 280 sdbws
ellipsoids-openmp 26 512 2607 14579 11972 3946 14515 10569 510 9802 257 sdbws
mean-pack-ell 209 256 12074 15605 3531 12192 15534 3342 3024 141 177 sdbws
mean-pack-ell 208 512 13977 15877 1900 14182 15814 1632 1421 98 113 sdbws
mean-pack-ell 207 256 12275 15886 3611 12398 15821 3423 3060 160 203 sdbws
mean-pack-ell 206 256 14590 18642 4052 14751 18472 3721 3549 18 154 sdbws
summary.js 210 256 18651 20174 1523 18790 20022 1232 247 842 143 sdbws
generateData.js 1 512 0 1092 1092 202 858 656 128 398 130 sdbws
createDat.js 3 512 1100 2154 1054 1468 2111 643 133 367 143 sdbws
createDat.js 5 512 1101 2227 1126 1454 2167 713 117 410 186 sdbws
