task id resource request_start request_end request_duration start end time downloaded executed uploaded type
ellipsoids-openmp 32 1536 2011 5580 3569 2572 5500 2928 125 2624 179 sdbcs
ellipsoids-openmp 71 1536 1979 5581 3602 2379 5422 3043 107 2739 197 sdbcs
ellipsoids-openmp 27 1536 2008 5581 3573 2541 5491 2950 113 2643 194 sdbcs
ellipsoids-openmp 73 1536 1980 5588 3608 2246 5454 3208 112 2914 182 sdbcs
ellipsoids-openmp 83 1536 1980 5592 3612 2489 5470 2981 135 2676 170 sdbcs
ellipsoids-openmp 42 1536 2005 5600 3595 2593 5571 2978 113 2641 224 sdbcs
ellipsoids-openmp 45 1536 2008 5608 3600 2582 5556 2974 151 2633 190 sdbcs
ellipsoids-openmp 36 1536 2008 5616 3608 2308 5517 3209 120 2900 189 sdbcs
ellipsoids-openmp 59 1536 2033 5654 3621 2631 5617 2986 108 2663 215 sdbcs
ellipsoids-openmp 28 1536 2011 5661 3650 2605 5607 3002 121 2689 192 sdbcs
ellipsoids-openmp 60 1536 2033 5678 3645 2590 5597 3007 114 2730 163 sdbcs
ellipsoids-openmp 63 1536 2033 5686 3653 2556 5577 3021 115 2665 241 sdbcs
ellipsoids-openmp 40 1536 2005 5692 3687 2521 5582 3061 165 2646 250 sdbcs
ellipsoids-openmp 12 1536 2039 5694 3655 2643 5626 2983 128 2670 185 sdbcs
ellipsoids-openmp 25 1536 2039 5696 3657 2600 5569 2969 123 2674 172 sdbcs
ellipsoids-openmp 22 1536 2041 5709 3668 2648 5632 2984 116 2674 194 sdbcs
ellipsoids-openmp 65 1536 2034 5711 3677 2572 5598 3026 124 2673 229 sdbcs
ellipsoids-openmp 21 1536 2075 5713 3638 2633 5608 2975 111 2680 184 sdbcs
ellipsoids-openmp 13 1536 2042 5730 3688 2594 5601 3007 109 2692 206 sdbcs
ellipsoids-openmp 8 1536 2039 5737 3698 2632 5666 3034 111 2740 183 sdbcs
ellipsoids-openmp 52 1536 2038 5751 3713 2626 5678 3052 105 2758 189 sdbcs
ellipsoids-openmp 18 1536 2040 5755 3715 2627 5652 3025 120 2707 198 sdbcs
ellipsoids-openmp 24 1536 2041 5758 3717 2658 5687 3029 113 2698 218 sdbcs
ellipsoids-openmp 57 1536 2035 5763 3728 2601 5664 3063 119 2781 163 sdbcs
ellipsoids-openmp 48 1536 2034 5786 3752 2619 5718 3099 104 2787 208 sdbcs
ellipsoids-openmp 9 1536 2041 5788 3747 2575 5639 3064 117 2762 185 sdbcs
ellipsoids-openmp 47 1536 2036 5790 3754 2609 5701 3092 117 2780 195 sdbcs
ellipsoids-openmp 23 1536 2040 5791 3751 2630 5705 3075 113 2736 226 sdbcs
ellipsoids-openmp 20 1536 2040 5793 3753 2649 5729 3080 107 2780 193 sdbcs
ellipsoids-openmp 10 1536 2042 5822 3780 2634 5735 3101 119 2792 190 sdbcs
ellipsoids-openmp 58 1536 2037 5824 3787 2665 5792 3127 109 2791 227 sdbcs
ellipsoids-openmp 11 1536 2042 5829 3787 2700 5809 3109 139 2761 209 sdbcs
ellipsoids-openmp 7 1536 2043 5833 3790 2612 5723 3111 130 2784 197 sdbcs
ellipsoids-openmp 62 1536 2036 5835 3799 2606 5745 3139 117 2801 221 sdbcs
ellipsoids-openmp 51 1536 2034 5836 3802 2631 5779 3148 105 2856 187 sdbcs
ellipsoids-openmp 14 1536 2043 5844 3801 2598 5719 3121 104 2833 184 sdbcs
ellipsoids-openmp 55 1536 2038 5848 3810 2596 5746 3150 117 2815 218 sdbcs
ellipsoids-openmp 6 1536 2043 5870 3827 2652 5792 3140 110 2860 170 sdbcs
ellipsoids-openmp 61 1536 2037 5872 3835 2558 5734 3176 126 2861 189 sdbcs
ellipsoids-openmp 16 1536 2040 5877 3837 2621 5786 3165 105 2844 216 sdbcs
ellipsoids-openmp 17 1536 2043 5879 3836 2649 5801 3152 115 2841 196 sdbcs
ellipsoids-openmp 53 1536 2034 5883 3849 2591 5778 3187 119 2860 208 sdbcs
ellipsoids-openmp 19 1536 2074 5930 3856 2670 5865 3195 176 2831 188 sdbcs
ellipsoids-openmp 15 1536 2041 5934 3893 2658 5872 3214 158 2771 285 sdbcs
mean-pack-ell 86 512 5938 6715 777 6035 6612 577 430 19 128 sdbcs
ellipsoids-openmp 39 1024 2009 6797 4788 2561 6714 4153 117 3775 261 sdbcs
ellipsoids-openmp 67 1024 1978 6924 4946 2224 6836 4612 120 4233 259 sdbcs
ellipsoids-openmp 77 1024 1981 7009 5028 2532 6932 4400 136 4029 235 sdbcs
ellipsoids-openmp 74 1024 1982 7024 5042 2535 6947 4412 138 4086 188 sdbcs
ellipsoids-openmp 66 1024 2002 7026 5024 2544 6947 4403 126 4048 229 sdbcs
ellipsoids-openmp 69 1024 1979 7032 5053 2479 6967 4488 114 4181 193 sdbcs
ellipsoids-openmp 64 1024 2033 7052 5019 2608 6957 4349 132 4029 188 sdbcs
ellipsoids-openmp 80 1024 1978 7095 5117 2222 7011 4789 117 4434 238 sdbcs
ellipsoids-openmp 85 1024 1982 7119 5137 2551 7059 4508 135 4159 214 sdbcs
ellipsoids-openmp 50 1024 2032 7257 5225 2584 7159 4575 111 4281 183 sdbcs
ellipsoids-openmp 54 1024 2036 7275 5239 2629 7208 4579 154 4221 204 sdbcs
ellipsoids-openmp 49 1024 2035 7288 5253 2622 7220 4598 123 4269 206 sdbcs
ellipsoids-openmp 46 1024 2038 7292 5254 2620 7217 4597 109 4282 206 sdbcs
ellipsoids-openmp 56 1024 2035 7294 5259 2605 7209 4604 155 4207 242 sdbcs
mean-pack-ell 87 512 6805 7595 790 6897 7504 607 448 20 139 sdbcs
mean-pack-ell 88 512 7302 8315 1013 7408 8059 651 501 18 132 sdbcs
mean-pack-ell 89 512 7127 8317 1190 7234 8078 844 679 20 145 sdbcs
summary.js 90 256 8324 9745 1421 8493 9730 1237 227 856 154 sdbcs
generateData.js 1 1536 0 592 592 153 525 372 122 119 131 sdbcs
createDat.js 3 512 601 1919 1318 709 1352 643 112 397 134 sdbcs
createDat.js 4 512 598 1921 1323 708 1370 662 128 393 141 sdbcs
createDat.js 5 512 599 1922 1323 703 1367 664 122 379 163 sdbcs
createDat.js 2 512 602 1923 1321 691 1404 713 137 411 165 sdbcs
ellipsoids-openmp 37 2048 1958 4698 2740 2315 4593 2278 104 1970 204 sdbcs
